CST_U_1,CST_U_2,CST_U_3,CST_U_4,CST_U_5,CST_U_6,CST_L_1,CST_L_2,CST_L_3,CST_L_4,CST_L_5,CST_L_6,AOA,RE_N,CD,CL
0.16180539,0.29676194,0.13611577,0.45273629,0.22570143,0.2514214,-0.10017403,-0.18000547,-0.10310966,-0.24224394,-0.36047178,0.09306353,12.1405,24776.5543,0.18060577910883857,0.5114179246895544
0.13684535,0.19305684,0.1114756,0.18827747,0.12168907,0.14969227,-0.08023475,-0.04912073,-0.02517603,-0.01078227,0.01815809,0.04016455,14.2271,61210.8096,0.29023910051425905,1.1924012848994858
0.13577607,0.22419469,0.0251799,0.43694128,-0.00718484,0.14988784,-0.10910372,-0.23221994,-0.07328753,-0.31031374,-0.17496036,-0.02379398,18.1395,49485.3994,0.41029173209570957,1.1610639209570959
0.1622984,0.16509796,0.22797926,0.21390152,0.14960547,0.16609216,-0.16229842,-0.16509793,-0.22797932,-0.21390147,-0.1496055,-0.16609215,15.4285,63979.319,0.3105404719159137,1.004846171583994
0.19565301,0.17665559,0.10444953,0.1818226,0.05723739,0.11701984,-0.174192,-0.17746273,-0.04247333,-0.16341001,-0.01395364,-0.05092134,10.0369,40279.2621,0.1871766756023074,0.8902717794027825
0.19436965,0.36015305,0.16611997,0.23489063,0.10644905,0.14039547,-0.09911732,-0.00390059,-0.13413565,-0.02426142,-0.1391767,-0.1357309,22.0,80362.3208,0.5635309587704009,1.2431545857867217
0.24517977,0.29232311,0.30929349,0.23982644,0.51894573,0.43972434,-0.07524909,-0.20311748,0.07991082,-0.19794764,-0.06273367,0.23467423,18.6701,84468.9115,0.49264323353895667,1.5378374888024675
0.14252907,0.30000998,0.10745066,0.31065671,0.15082961,0.22732668,-0.06437944,0.08402154,-0.00139479,0.06938904,-0.00721083,0.01027652,1.1951,67369.3679,0.02735969443904133,0.3530663121222647
0.1112337,0.14867244,0.09063775,0.18382124,0.09448071,0.103602,-0.08245388,-0.08078959,-0.06724469,-0.11145769,-0.01678976,-0.01532969,16.4673,91223.809,0.3993372652242442,1.313387672016048
0.13183163,0.42243003,-0.0473247,0.85541779,-0.18236764,0.20682422,-0.14416723,-0.07611087,-0.21862026,0.00354444,-0.42040415,0.03775394,15.8147,83891.3953,0.33383553187092097,0.9663678139593908
0.1681848,0.12013586,0.25980455,0.10595798,0.18175348,0.16256612,-0.05779191,-0.00149523,-0.1888337,-0.000362,-0.13329054,-0.03717903,16.911,70979.6347,0.4094278473620897,1.2849258173225642
0.12934087,0.14791497,0.17411169,0.0959842,0.26850885,0.14178507,-0.08125457,-0.06791816,-0.11181968,-0.0297154,-0.17645289,-0.08597237,17.5964,29553.83,0.37834821014084513,1.2290592922065726
0.29670681,0.43824314,0.39324024,0.58476512,0.16865623,0.58516067,-0.18958052,-0.09081046,-0.05078024,0.18597837,0.02318599,0.41166478,7.6048,45872.4115,0.20879070254491017,0.6579305023952096
0.18175672,0.32620371,0.18366231,0.35174866,0.13413543,0.26761123,-0.14089424,0.01395821,-0.09243403,-0.04966627,-0.07991593,-0.16249284,14.505,75328.2748,0.30443838713795734,1.1288648826028964
0.18040424,0.29751141,0.23577546,0.29835116,0.24614013,0.15399033,-0.11276596,-0.10506896,-0.093515,-0.08568924,-0.03902082,0.02004975,17.0017,86455.1565,0.3886614576500316,1.3099773602653189
0.26119744,0.1344807,0.28816421,0.22138624,0.17019974,0.39691584,0.02749961,-0.07609686,0.17214223,-0.05426316,0.17178877,0.05216528,4.1186,93412.8045,0.05073792384489605,0.5852125368371875
0.18832493,0.21633473,0.19569861,0.22047047,0.17877186,0.2443119,-0.15153132,-0.10904714,-0.08566577,-0.11113016,-0.04964406,-0.1075961,5.2553,74905.2133,0.04950806228267416,0.3507319672354949
0.14601986,0.22699168,0.09074861,0.29320332,0.13806678,0.05912509,-0.14602535,-0.22696757,-0.09081057,-0.2930985,-0.1381905,-0.05902029,8.7245,96756.1722,0.10071551082333917,0.5018621100390783
0.37677629,0.33650998,0.4180907,0.34682533,0.36207949,0.441064,-0.22903179,-0.21979631,-0.0888085,-0.22228713,-0.04548627,-0.17768669,9.4098,25628.2181,0.20437145407624632,0.6383094920821115
0.12014057,0.19490989,0.0706602,0.17976757,0.08820195,0.1662569,-0.06037143,0.06965025,-0.00578649,0.01413742,-0.01919798,-0.06897425,17.4949,73075.1465,0.4194280414751668,1.3735341890289103
0.13107968,0.18239091,0.13134081,0.18510697,0.0996696,0.06484637,-0.08575219,-0.08099085,-0.03929033,-0.07139127,-0.03177509,-0.02868242,16.3847,46464.6759,0.34265395710914454,1.1652144551327435
0.17116439,0.30397243,0.09577337,0.24025614,0.13548486,0.18082055,-0.03125176,-0.05324653,0.0465119,-0.03051497,0.05489317,-0.0158404,12.8363,43092.6996,0.29341390767402376,1.225279949711375
0.21686969,0.27291767,0.15468407,0.26305133,0.18572708,0.27179082,-0.04965094,0.08762031,-0.04199457,0.09022695,0.02025588,0.05433724,15.2171,87059.5282,0.3678547897419859,1.4064154419077406
0.16994696,0.25624058,0.25728067,0.14738144,0.18030441,0.07638797,0.02076805,0.3271049,0.11919796,0.22187836,0.1544345,0.04242266,2.4893,87300.9653,0.05168086640720657,0.40277289076438694
